Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO,Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO1,Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO2,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin3,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin4,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin5,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin6,httpsus02web_zoom_usj4433442211_pwdZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09_URL,httpsus02web_zoom_usj4433442211_pwdZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09
Sunday,23:30 (11:30pm) EST - 01:00 (1:00am) EST,"
                                        C,AB,PER,VM,VO
                    				",Aramesh - آرامش,,Berlin,,,https://us02web.zoom.us/j/4432441521?pwd=b3NPdDM5Q2QraVFsL3Y1N0FVVkx3QT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4432441521?pwd=b3NPdDM5Q2QraVFsL3Y1N0FVVkx3QT09&choe=UTF-8&chld=L|0
Sunday,00:00 (12:00am) EST - 02:00 (2:00am) EST,"
                                        C,RF,VM,PT,VO
                    				",Insônia NA Recuperação,"ID 7770001988, Senha: 000 000",RS,,,https://us02web.zoom.us/j/7770001988?pwd=Nit6ZW1mdEhxdk1KaU82dDlic2paUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/7770001988?pwd=Nit6ZW1mdEhxdk1KaU82dDlic2paUT09&choe=UTF-8&chld=L|0
Sunday,00:00 (12:00am) EST - 01:30 (1:30am) EST,"
                                        C,D,ENG,VM,VO
                    				",Warriors in Recovery,,,,,https://us02web.zoom.us/j/83302666232?pwd=a2ZhMlJjUTNXZXZIVzZxQlp6R3Uvdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83302666232?pwd=a2ZhMlJjUTNXZXZIVzZxQlp6R3Uvdz09&choe=UTF-8&chld=L|0
Sunday,00:00 (12:00am) EST - 01:15 (1:15am) EST,"
                                        O,RF,ENG,VM,VO
                    				",QUARANTINED NA - San Diego,,"San Diego, CA",,,https://zoom.us/j/6420833054,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/6420833054&choe=UTF-8&chld=L|0
Sunday,00:00 (12:00am) EST - 01:00 (1:00am) EST,"
                                        O,D,To,ENG,VM,VO
                    				",Spiritual Tendencies Group,,"San Diego, CA",,,https://zoom.us/j/500458564,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/500458564&choe=UTF-8&chld=L|0
Sunday,00:00 (12:00am) EST - 01:00 (1:00am) EST,"
                                        O,RF,ENG,VM,VO
                    				",Recovery & Beyond Group,,"Mesa, AZ",,password: 245245,https://us02web.zoom.us/j/2452451993,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/2452451993&choe=UTF-8&chld=L|0
Sunday,00:00 (12:00am) EST - 01:00 (1:00am) EST,"
                                        O,CL,JT,ENG,VM,VO
                    				",Rainbow Rocket Recovery  - Saturday Night Candle Light Meetring,,"Huntsville, AL",,password: 2020,https://us04web.zoom.us/j/8264724936,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/8264724936&choe=UTF-8&chld=L|0
Sunday,00:30 (12:30am) EST - 01:30 (1:30am) EST,"
                                        C,D,To,VM,HIN,VO
                    				",Asha,,"Pune, Maharashtra",English Welcome,password: jftna,https://us02web.zoom.us/j/86393257102?pwd=ZFowcGt0NzIzNG1DbFhNWkpBSU5VQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/86393257102?pwd=ZFowcGt0NzIzNG1DbFhNWkpBSU5VQT09&choe=UTF-8&chld=L|0
Sunday,00:45 (12:45am) EST - 01:45 (1:45am) EST,"
                                        O,D,To,ENG,VM,VO
                    				",Namratha,,"Bangalore, Karnataka",,,https://us02web.zoom.us/j/8421668628?pwd=TXM2WGNwNzhQV3JrNy9jY205N2Njdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/8421668628?pwd=TXM2WGNwNzhQV3JrNy9jY205N2Njdz09&choe=UTF-8&chld=L|0
Sunday,01:00 (1:00am) EST - 02:00 (2:00am) EST,"
                                        C,RF,VM,HY,VO,BUL
                    				","Опит, сила и надежда - Experience, strength and hope",,"Varna, Bulgaria",,,https://us02web.zoom.us/j/4208209856?pwd=aHhKakVqVStBTjFxM0lVang5eVEzUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4208209856?pwd=aHhKakVqVStBTjFxM0lVang5eVEzUT09&choe=UTF-8&chld=L|0
